,maker,specific_origin,ref,review_date,cocoa_percent,company_location,rating,bean_type,broad_origin
1311,potomac,"san martin, amazonian highlands",789,2011,70.0,u.s.a.,2.75,unknown,peru
123,artisan du chocolat,haiti,729,2011,72.0,u.k.,4.0,unknown,haiti
1737,wilkie's organic,tumbes,1169,2013,75.0,ireland,3.25,criollo,peru
157,batch,"dominican republic, batch 3",1840,2016,65.0,u.s.a.,3.5,unknown,dominican
977,lonohana,"haleiwa, o'ahu; lonohana e., kanahiku",1383,2014,70.0,u.s.a.,3.75,unknown,hawaii
30,aequare (gianduja),"los rios, quevedo, arriba",370,2009,70.0,ecuador,3.0,forastero (arriba),ecuador
1131,middlebury,"balinese, java",887,2012,70.0,u.s.a.,2.5,criollo,indonesia
1195,nuance,"canoabo, 2013",1458,2015,70.0,u.s.a.,3.0,criollo,venezuela
237,bonnat,"porcelana, tabasco, marfil de blanco",336,2009,75.0,france,3.0,criollo,mexico
1099,meadowlands,dominican republic,1291,2014,70.0,u.s.a.,3.5,unknown,dominican
1023,manoa,"waiahole, o'ahu",1089,2013,72.0,u.s.a.,3.75,unknown,hawaii
1587,sublime origins,sambirano,1157,2013,67.0,u.s.a.,2.75,trinitario,madagascar
1252,pacari,raw,266,2008,70.0,ecuador,3.5,forastero (arriba),ecuador
529,debauve & gallais (michel cluizel),papua new guinea,423,2009,64.0,france,3.0,unknown,papua new guinea
1698,valrhona,caraibe,63,2006,66.0,france,3.0,trinitario,carribean
209,black mountain,la red,256,2008,70.0,u.s.a.,2.75,unknown,dominican
174,belyzium,belize south,1768,2016,78.0,germany,3.0,trinitario,belize
864,idilio (felchlin),coopertiva amazona w/ nibs,737,2011,72.0,switzerland,4.0,criollo,venezuela
499,danta,chuao,987,2012,75.0,guatemala,3.0,trinitario,venezuela
401,chocolate conspiracy,peru,1259,2014,74.0,u.s.a.,2.75,unknown,peru
832,hotel chocolat (coppeneur),"somia plantation, akesson, 2012",1065,2013,72.0,u.k.,3.0,trinitario,madagascar
856,idilio (felchlin),"chuao, venezuela",1085,2013,72.0,switzerland,3.75,trinitario,venezuela
1542,soma,"alto beni, wild bolivian",676,2011,70.0,canada,3.5,nacional,bolivia
636,ethereal,belize,1275,2014,80.0,u.s.a.,3.0,trinitario,belize
886,kah kow,"rizek cacao, domin. rep.",1073,2013,62.0,domincan republic,3.25,unknown,dominican
1034,manufaktura czekolady,grand cru ecuador,875,2012,70.0,poland,3.25,unknown,ecuador
225,bonnat,maragnam,1038,2013,75.0,france,3.5,unknown,brazil
143,askinosie,san jose del tambo,175,2007,70.0,u.s.a.,3.0,forastero (arriba),ecuador
537,dick taylor,"alto beni, wild harvest, limited ed.",1634,2015,70.0,u.s.a.,3.75,unknown,bolivia
470,cravve,"namau village, n. taileva p., batch a2812",975,2012,67.0,australia,3.25,trinitario,fiji
292,cacao de origen,macuare; miranda; chloe formula,1391,2014,74.0,venezuela,3.25,unknown,venezuela
1441,scharffen berger,kumasi sambirano,40,2006,68.0,u.s.a.,2.0,blend,ghana & madagascar
429,chokolat elot (girard),guadeloupe,1149,2013,42.0,martinique,2.75,unknown,martinique
541,dick taylor,bolivia,895,2012,75.0,u.s.a.,2.75,unknown,bolivia
876,izard,"maya mountain, toledo, batch 29",1542,2015,70.0,u.s.a.,3.5,trinitario,belize
1724,violet sky,sambirano valley,1458,2015,77.0,u.s.a.,2.75,trinitario,madagascar
1776,zokoko,tokiala,701,2011,66.0,australia,3.5,trinitario,papua new guinea
1230,original beans (felchlin),papua kerafat,1438,2014,68.0,switzerland,2.75,unknown,papua new guinea
1607,szanto tibor,"ayacucho, ""el guinacho""",939,2012,70.0,hungary,3.75,unknown,peru
391,chocola'te,venezuela,647,2011,68.0,u.s.a.,3.75,unknown,venezuela
658,fossa,"camino verde p., balao, guayas",1776,2016,75.0,singapore,3.5,unknown,ecuador
98,ara,trincheras,1379,2014,75.0,france,3.0,unknown,venezuela
1096,meadowlands,venezuela,1287,2014,70.0,u.s.a.,2.75,unknown,venezuela
599,durci,"carenero, empyrean sabor",1630,2015,70.0,u.s.a.,3.25,trinitario,venezuela
595,durand,madagascar,841,2012,82.0,france,2.75,trinitario,madagascar
815,hoja verde (tulicorp),manabi,414,2009,58.0,ecuador,3.5,forastero (arriba) ass,ecuador
1669,twenty-four blackbirds,oko caribe,1700,2015,75.0,u.s.a.,2.75,unknown,dominican
138,askinosie,mababa,1780,2016,68.0,u.s.a.,3.75,trinitario,tanzania
1060,mars,ivory coast,544,2010,65.0,u.s.a.,3.0,unknown,ivory coast
288,cacao barry,mexico,147,2007,66.0,france,3.0,unknown,mexico
376,chaleur b,uganda,1426,2014,70.0,canada,2.75,forastero,uganda
688,fresco,"markham valley, #221, dr, mc",899,2012,69.0,u.s.a.,3.5,unknown,papua new guinea
419,chocovic,"bolivar, guaranda",117,2007,71.0,spain,2.5,forastero (arriba),ecuador
9,a. morin,pablino,1319,2014,70.0,france,4.0,unknown,peru
1232,original beans (felchlin),"alto beni, wild harvest, itenez r. 24hr c.",733,2011,66.0,switzerland,3.75,unknown,bolivia
1459,silvio bessone,maya belize,717,2011,67.0,italy,3.0,criollo,belize
514,dark forest,ecuador,1554,2015,70.0,u.s.a.,3.25,unknown,ecuador
905,kto,sambirano valley,1422,2014,72.0,u.s.a.,3.25,trinitario,madagascar
1045,marana,piura,1872,2016,70.0,peru,3.0,unknown,peru
1634,tejas,"la bahia, w/ cane juice",817,2012,70.0,u.s.a.,3.25,unknown,ecuador
340,caoni (tulicorp),manabi,237,2008,77.0,ecuador,2.5,forastero (arriba),ecuador
1329,pralus,"barlovento, venezuela",32,2006,75.0,france,3.5,trinitario,venezuela
89,amma,"monte alegre, 3 diff. plantations",572,2010,85.0,brazil,2.75,forastero (parazinho),brazil
1103,mesocacao,el salvador,1494,2015,70.0,honduras,3.0,unknown,el salvador
1596,szanto tibor,ambolikapiky,1704,2015,70.0,hungary,3.25,trinitario,madagascar
114,arete,"puerto quito, heirloom",1534,2015,70.0,u.s.a.,3.75,forastero (nacional),ecuador
1567,spencer,peru,1932,2017,70.0,u.s.a.,2.75,unknown,peru
837,hotel chocolat (coppeneur),sambirano,809,2012,66.0,u.k.,3.5,"trinitario, criollo",madagascar
646,felchlin,"madagascar, grand cru",48,2006,64.0,switzerland,3.0,criollo,madagascar
569,domori,madagascar,135,2007,70.0,italy,3.5,trinitario,madagascar
704,fresco,"carenero superior, #203, mr, sc",370,2009,65.0,u.s.a.,3.5,criollo,venezuela
966,letterpress,maranura,1371,2014,70.0,u.s.a.,3.5,forastero (nacional),peru
1164,naive,grenada,867,2012,71.0,lithuania,2.5,trinitario,grenada
493,dandelion,colombian,805,2012,70.0,u.s.a.,3.25,unknown,colombia
528,dean and deluca (belcolade),peru,180,2007,64.0,u.s.a.,3.0,unknown,peru
1328,pralus,"java, indonesie",32,2006,75.0,france,3.5,criollo,indonesia
1202,ocelot,virunga,1558,2015,70.0,scotland,3.75,forastero,congo
538,dick taylor,elvesia,1235,2014,74.0,u.s.a.,3.5,unknown,dominican
42,alexandre,tien giang,1944,2017,70.0,netherlands,3.5,trinitario,vietnam
831,hotel chocolat (coppeneur),"los rios, h. iara",1065,2013,90.0,u.k.,3.0,forastero (nacional),ecuador
544,dick taylor,sambirano,661,2011,72.0,u.s.a.,3.0,trinitario,madagascar
1046,marana,cusco,1884,2016,70.0,peru,2.75,unknown,peru
50,altus aka cao artisan,conacado,1125,2013,60.0,u.s.a.,3.0,trinitario,dominican
1415,sacred,midnight,813,2012,83.0,u.s.a.,2.75,unknown,central and s. america
669,french broad,"norandino, batch 161208",1940,2017,70.0,u.s.a.,3.5,unknown,peru
60,amano,madagascar,129,2007,70.0,u.s.a.,3.5,trinitario,madagascar
973,lillie belle,"the other one, grand cru",947,2012,74.0,u.s.a.,3.0,unknown,dominican
1632,tejas,aranama,805,2012,70.0,u.s.a.,3.0,unknown,papua new guinea
861,idilio (felchlin),"porcelana, zulia",733,2011,74.0,switzerland,4.0,criollo,venezuela
936,la maison du chocolat (valrhona),"porcelana, pariguan",346,2009,69.0,france,3.5,criollo (porcelana),venezuela
782,hacienda el castillo,don homero- cerecita valley,1327,2014,70.0,ecuador,3.0,trinitario,ecuador
981,lonohana,"opaeula estate, o'ahu, ele'ele",1097,2013,72.0,u.s.a.,3.0,unknown,hawaii
700,fresco,"chuao, #217, dr, mc",745,2011,70.0,u.s.a.,4.0,trinitario,venezuela
57,amano,chuao,544,2010,70.0,u.s.a.,3.0,trinitario,venezuela
1142,moho,"umoho r., toledo district, san felipe",607,2010,67.0,u.s.a.,2.75,trinitario,belize
392,chocolate alchemist-philly,"tumbes, ""zarumilla""",1772,2016,90.0,u.s.a.,2.5,unknown,peru
457,coppeneur,ocumare 61,558,2010,72.0,germany,3.25,criollo (ocumare 61),venezuela
216,blue bandana,lachua,1752,2016,75.0,u.s.a.,2.75,unknown,guatemala
961,letterpress,beniamo,1562,2015,70.0,u.s.a.,3.25,unknown,bolivia
1390,rogue,porcelana,1209,2014,80.0,u.s.a.,3.75,criollo,venezuela
1382,roasting masters,"tapanti, light roast",1844,2016,70.0,south korea,3.25,unknown,costa rica
1107,mesocacao,"la tronca, matagalpa",1351,2014,80.0,honduras,3.5,unknown,nicaragua
1711,vicuna,palos blancos,1470,2015,70.0,u.s.a.,3.25,unknown,bolivia
173,belyzium,"belize south, low fermentation",1768,2016,83.0,germany,2.75,trinitario,belize
1473,sirene,"camino verde p., balao, guayas",1343,2014,73.0,canada,3.75,unknown,ecuador
282,cacao atlanta,dominican republic w/ nibs,502,2010,75.0,u.s.a.,2.75,unknown,dominican
521,de villiers,bundibugyo district,1832,2016,70.0,south africa,2.5,forastero,uganda
1342,pump street bakery,honduras,1688,2015,80.0,u.k.,2.75,unknown,honduras
1609,tabal,costa rica,1101,2013,70.0,u.s.a.,2.75,unknown,costa rica
1264,pangea,matasawalevu,1860,2016,76.0,spain,3.0,unknown,fiji
109,arete,elvesia,1928,2016,70.0,u.s.a.,3.75,unknown,dominican
969,lillie belle,perfect illusion,855,2012,65.0,u.s.a.,3.5,criollo,peru
879,jordis,madagascar,1534,2015,63.0,czech republic,2.75,trinitario,madagascar
66,amatller (simon coll),ghana,464,2009,85.0,spain,3.0,forastero,ghana
805,hexx,ecuador,1550,2015,73.0,u.s.a.,3.25,unknown,ecuador
1736,wilkie's organic,amazonas,1169,2013,89.0,ireland,2.75,criollo,peru
632,ethel's artisan (mars),trinidad,666,2011,55.0,u.s.a.,2.5,trinitario,trinidad
740,green bean to bar,madagascar,1896,2016,70.0,japan,3.5,unknown,madagascar
168,belcolade,peru,586,2010,64.0,belgium,2.75,unknown,peru
1667,treehouse,conacado,1239,2014,72.0,u.s.a.,3.0,unknown,dominican
1769,zart pralinen,san juan estate,1824,2016,85.0,austria,2.75,trinitario,trinidad
1424,santander (compania nacional),colombian,32,2006,65.0,colombia,3.0,forastero (nacional),colombia
715,friis holm (bonnat),"johe, xoco",623,2011,70.0,denmark,3.25,"criollo, trinitario",nicaragua
46,altus aka cao artisan,ciaab coop,1732,2016,60.0,u.s.a.,2.5,unknown,bolivia
33,akesson's (pralus),"madagascar, ambolikapiky p.",502,2010,75.0,switzerland,2.75,criollo,madagascar
1256,palette de bine,"san juan estate, gran couva",1570,2015,70.0,canada,3.25,trinitario,trinidad
1152,montecristi,manabi,1654,2015,63.0,ecuador,3.5,unknown,ecuador
1603,szanto tibor,"spring, secondary harvest, 2012",1185,2013,70.0,hungary,3.5,criollo,madagascar
1792,zotter,kerala state,749,2011,65.0,austria,3.5,forastero,india
1259,palette de bine,"alto beni, palos blancos",1239,2014,72.0,canada,2.75,unknown,bolivia
1469,sirene,"lachua w/ maple sugar, batch 5",1614,2015,73.0,canada,3.25,unknown,guatemala
1369,republica del cacao (aka confecta),manabi,147,2007,75.0,ecuador,3.0,forastero (arriba),ecuador
321,cacaoyere (ecuatoriana),amazonia,237,2008,63.0,ecuador,3.5,forastero (arriba),ecuador
963,letterpress,san andres,1566,2015,70.0,u.s.a.,3.0,unknown,costa rica
1031,manufaktura czekolady,kolumbia,1279,2014,85.0,poland,3.5,unknown,colombia
1610,tabal,dominican republic,1101,2013,70.0,u.s.a.,2.75,unknown,dominican
111,arete,lam dong,1928,2016,73.0,u.s.a.,3.25,unknown,vietnam
1116,michel cluizel,tamarina,24,2006,70.0,france,3.0,forastero,sao tome
125,artisan du chocolat,venezuela,486,2010,100.0,u.k.,1.75,unknown,venezuela
1297,pitch dark,johe,1506,2015,80.0,u.s.a.,2.75,unknown,nicaragua
441,compania de chocolate (salgado),carenero superior,292,2008,80.0,argentina,2.75,trinitario,venezuela
1733,wellington chocolate factory,"piura blanco, norandino",1756,2016,70.0,new zealand,3.5,unknown,peru
1296,pitch dark,tenor,1506,2015,62.0,u.s.a.,2.5,unknown,nicaragua
334,cao,porcelana,1804,2016,75.0,u.s.a.,2.5,criollo,venezuela
639,fearless (amma),"monte alegre, d. badaro, raw, organic",565,2010,75.0,u.s.a.,2.75,unknown,brazil
1268,parliament,alto beni,1251,2014,70.0,u.s.a.,3.0,unknown,bolivia
1130,middlebury,alto beni,887,2012,75.0,u.s.a.,2.0,criollo,bolivia
1551,soma,papua new guinea,387,2009,70.0,canada,3.5,trinitario,papua new guinea
23,acalli,"chulucanas, el platanal",1462,2015,70.0,u.s.a.,3.75,unknown,peru
853,hummingbird,zorzal reserva w/ charles kerchner,1387,2014,70.0,canada,3.5,unknown,dominican
681,fresco,"maranon, #229, mr, lc",1383,2014,70.0,u.s.a.,3.5,forastero (nacional),peru
180,benoit nihant,"bali, sukrama bros. farm, melaya, 62hr c",757,2011,72.0,belgium,4.0,trinitario,indonesia
1455,shattell,porcelana,757,2011,75.0,peru,3.5,criollo,peru
838,hotel chocolat (coppeneur),"los rios, h. iara, 96hr c.",623,2011,80.0,u.k.,3.0,forastero (nacional),ecuador
1154,muchomas (mesocacao),nicaragua,1462,2015,70.0,u.s.a.,3.5,unknown,nicaragua
968,lilla,madagascar,1856,2016,70.0,finland,3.0,trinitario,madagascar
1371,republica del cacao (aka confecta),los rios,170,2007,75.0,ecuador,3.75,forastero (arriba),ecuador
974,lillie belle,wild thing,947,2012,68.0,u.s.a.,3.5,criollo,bolivia
986,luker,misterio,552,2010,58.0,colombia,3.0,unknown,"colombia, ecuador"
814,hoja verde (tulicorp),arriba,414,2009,58.0,ecuador,3.25,forastero (arriba) ass,ecuador
371,cello,ecuador,1247,2014,70.0,u.s.a.,2.5,unknown,ecuador
673,french broad,"palo blanco, chulucanas",1042,2013,66.0,u.s.a.,3.5,unknown,peru
244,bonnat,madagascar,75,2006,75.0,france,4.0,trinitario,madagascar
409,"chocolate tree, the",peru,919,2012,68.0,scotland,2.75,criollo,peru
1775,zokoko,alto beni,697,2011,68.0,australia,3.5,unknown,bolivia
129,artisan du chocolat,bali,600,2010,72.0,u.k.,3.5,unknown,indonesia
600,durci,corona arriba,1630,2015,70.0,u.s.a.,4.0,unknown,ecuador
1070,mast brothers,french laundry 20th anniversary,1359,2014,75.0,u.s.a.,3.75,blend,"peru, belize"
676,french broad,"palo blanco w/ panela, chulucanas",887,2012,81.0,u.s.a.,2.0,unknown,peru
1709,vao vao (chocolaterie robert),madagascar w/ nibs,404,2009,68.0,madagascar,3.0,trinitario,madagascar
1566,spencer,ecuador,1932,2017,70.0,u.s.a.,3.5,unknown,ecuador
952,lajedo do ouro,catongo,927,2012,70.0,brazil,3.5,forastero (catongo),brazil
204,bittersweet origins,sambirano,431,2009,65.0,u.s.a.,3.5,trinitario,madagascar
785,harper macaw,brazil blend,1696,2015,67.0,u.s.a.,3.0,unknown,brazil
943,laia aka chat-noir,"vietnam, batch 50/100",1590,2015,75.0,france,2.75,trinitario,vietnam
987,luker,santander,552,2010,65.0,colombia,3.5,unknown,colombia
1216,olive and sinclair,dark 75,457,2009,75.0,u.s.a.,3.0,unknown,"ghana, domin. rep"
811,hoja verde (tulicorp),arriba,414,2009,80.0,ecuador,2.0,forastero (arriba) ass,ecuador
1785,zotter,huiwani coop,879,2012,75.0,austria,3.0,"criollo, trinitario",papua new guinea
272,britarev,ecuador,1638,2015,70.0,russia,3.25,unknown,ecuador
504,danta,los ujuxtes,661,2011,60.0,guatemala,3.5,unknown,guatemala
1731,vivra,dominican republic,1724,2016,70.0,u.s.a.,3.0,unknown,dominican
1604,szanto tibor,cacao blanco,1193,2013,70.0,hungary,3.25,unknown,nicaragua
1392,rogue,"hispaniola, 2013",1081,2013,70.0,u.s.a.,3.5,unknown,dominican
1692,valrhona,chuao 2002 p.,129,2007,65.0,france,3.75,trinitario,venezuela
176,benoit nihant,baracoa,1141,2013,74.0,belgium,3.5,trinitario,cuba
694,fresco,"conacado, #212, lr, sc",642,2011,72.0,u.s.a.,3.5,unknown,dominican
659,fossa,"kokoa kamili coop, kilombero",1776,2016,67.0,singapore,3.75,trinitario,tanzania
1494,snake & butterfly,ecuador,502,2010,68.0,u.s.a.,3.25,unknown,ecuador
1135,mindo,ecuador,607,2010,77.0,u.s.a.,2.75,unknown,ecuador
1037,map chocolate,"maranon, 2014",1474,2015,62.0,u.s.a.,3.5,forastero (nacional),peru
293,cacao de origen,"chuao, aragua region",1391,2014,75.0,venezuela,3.5,trinitario,venezuela
1191,nova monda,"la dalia, matagalpa,cacao bisesto,green label",935,2012,75.0,niacragua,2.75,unknown,nicaragua
925,l.a. burdick (felchlin),bolivian,451,2009,68.0,u.s.a.,3.0,unknown,bolivia
177,benoit nihant,chuao,1141,2013,74.0,belgium,3.5,criollo,venezuela
165,beehive,ecuador,1788,2016,90.0,u.s.a.,2.75,unknown,ecuador
1657,theo,"ghana, kumasi",184,2007,84.0,u.s.a.,3.0,forastero,ghana
988,machu picchu trading co.,peru,721,2011,70.0,peru,1.5,unknown,peru
743,grenada chocolate co.,grenada,241,2008,71.0,grenada,2.5,trinitario,grenada
828,hotel chocolat,"island growers, 2012, 120hr c.",1113,2013,100.0,u.k.,1.75,trinitario,st lucia
1327,pralus,"madagascar, nosy be isle.",5,2006,75.0,france,3.75,criollo,madagascar
1071,mast brothers,shake shack,959,2012,73.0,u.s.a.,3.5,blend,"peru, mad., dom. rep."
258,brasstown aka it's chocolate,"camino verde, guayas",1125,2013,70.0,u.s.a.,3.25,unknown,ecuador
1215,olive and sinclair,dark 67,457,2009,67.0,u.s.a.,2.75,unknown,"ghana, domin. rep"
724,fruition,peru,863,2012,70.0,u.s.a.,2.5,unknown,peru
1615,tablette (aka vanillabeans),vietnam,1450,2015,60.0,japan,3.25,trinitario,vietnam
1718,vietcacao (a. morin),"ben tre, mekong delta, mocay",951,2012,70.0,france,3.5,trinitario,vietnam
1442,scharffen berger,jamaica a l'ancienne,56,2006,70.0,u.s.a.,2.0,trinitario,jamaica
27,adi,vanua levu,705,2011,88.0,fiji,3.5,trinitario,fiji
1291,pierre marcolini,fleur de cacao,166,2007,85.0,belgium,3.5,blend,venezuela
72,ambrosia,papua new guinea,1498,2015,63.0,canada,3.25,unknown,papua new guinea
93,anahata,elvesia,1259,2014,75.0,u.s.a.,3.0,unknown,dominican
833,hotel chocolat (coppeneur),"los rios, h. iara, 2012",1065,2013,82.0,u.k.,3.5,forastero (nacional),ecuador
726,fruition,costa rica,781,2011,70.0,u.s.a.,3.0,unknown,costa rica
322,cacaoyere (ecuatoriana),esmeraldas,237,2008,71.0,ecuador,3.5,forastero (arriba),ecuador
663,franceschi,sur del lago,915,2012,60.0,venezuela,3.5,unknown,venezuela
298,cacao hunters,arhuacos,1662,2015,72.0,colombia,3.75,unknown,colombia
949,laia aka chat-noir,"lam dong, batch 153",1642,2015,75.0,france,3.75,trinitario,vietnam
84,amedei,trinidad,129,2007,70.0,italy,3.5,trinitario,trinidad
17,a. morin,chuao,1015,2013,70.0,france,4.0,trinitario,venezuela
1571,spencer,malekula island,1434,2014,72.0,australia,2.75,trinitario,vanuatu
1015,malmo,chuao,1856,2016,70.0,sweden,3.0,unknown,venezuela
1654,theo,congo w/ nibs,903,2012,65.0,u.s.a.,3.25,forastero,congo
1484,"smooth chocolator, the",akesson's estate,1622,2015,70.0,australia,3.5,trinitario,madagascar
1196,nuance,"sambirano valley, 2012",1458,2015,70.0,u.s.a.,3.5,trinitario,madagascar
377,charm school,maya mtn,1900,2016,70.0,u.s.a.,3.25,unknown,belize
1166,na�ve,chuao,1399,2014,75.0,lithuania,2.75,trinitario,venezuela
1336,pralus,cuba,99,2006,75.0,france,3.0,trinitario,cuba
1352,q chocolate,brazil,935,2012,60.0,brazil,3.0,unknown,brazil
95,ara,madagascar,1375,2014,75.0,france,3.0,trinitario,madagascar
119,arete,guatemala,1602,2015,70.0,u.s.a.,3.25,unknown,guatemala
1388,rogue,"caranero, choc. garage exclusive",1446,2015,70.0,u.s.a.,3.75,unknown,venezuela
1273,patric,madagascar,331,2009,75.0,u.s.a.,4.0,trinitario,madagascar
1282,pierre marcolini,chuao,478,2010,75.0,belgium,3.0,criollo,venezuela
797,heirloom cacao preservation (mindo),"pinchincha, mindo, coop nueva esper., 2015",1748,2016,77.0,u.s.a.,3.5,eet,ecuador
131,artisan du chocolat,java,355,2009,72.0,u.k.,2.75,trinitario,indonesia
1595,szanto tibor,baracoa,1704,2015,88.0,hungary,3.25,trinitario,cuba
1384,robert (aka chocolaterie robert),madagascar,1061,2013,75.0,madagascar,3.25,trinitario,madagascar
1723,vintage plantations (tulicorp),"los rios, rancho grande 2007",153,2007,65.0,u.s.a.,3.0,forastero (arriba),ecuador
629,escazu,"carenero, guapiles, ocumare blend",431,2009,74.0,u.s.a.,2.75,unknown,"cost rica, ven"
887,kakao,peru,837,2012,64.0,germany,2.5,unknown,peru
454,coppeneur,"los rios, h. iara",558,2010,72.0,germany,2.5,nacional,ecuador
463,coppeneur,"porcelana, venezuela",220,2008,72.0,germany,3.0,criollo (porcelana),venezuela
230,bonnat,libanio,629,2011,75.0,france,3.75,unknown,brazil
1662,to'ak (ecuatoriana),manabi,1418,2014,81.0,ecuador,3.25,forastero (nacional),ecuador
683,fresco,"conacado, #223, mr, sc",1030,2013,72.0,u.s.a.,3.25,unknown,dominican
1372,ritual,"camino verde p., balao, 2015 harvest, batch8",1860,2016,75.0,u.s.a.,3.75,unknown,ecuador
1021,manoa,markham valley,1522,2015,72.0,u.s.a.,3.5,unknown,papua new guinea
164,beehive,"ecuador, batch 31516",1784,2016,70.0,u.s.a.,2.75,unknown,ecuador
54,amano,morobe,725,2011,70.0,u.s.a.,4.0,unknown,papua new guinea
651,finca,dominican republic,1283,2014,80.0,u.s.a.,3.0,unknown,dominican
549,doble & bignall,"panama, raven",1371,2014,72.0,u.k.,3.25,unknown,panama
471,cravve,vanuatu,975,2012,64.0,australia,3.25,trinitario,vanuatu
1781,zotter,"satipo pangoa region, 16hr conche",875,2012,70.0,austria,3.0,criollo (amarru),peru
1320,pralus,dominican republic-organic,280,2008,75.0,france,2.0,unknown,dominican
1602,szanto tibor,"autumn, primary harvest, 2012",1185,2013,70.0,hungary,3.5,criollo,madagascar
266,brazen,ambolikapkly p.,1518,2015,60.0,u.s.a.,3.25,unknown,madagascar
648,felchlin,arriba,48,2006,72.0,switzerland,3.5,forastero (arriba),ecuador
1082,mast brothers,"la red de guanconejo, n. highlands coop",777,2011,74.0,u.s.a.,3.75,unknown,dominican
1100,menakao (aka cinagra),madagascar,837,2012,80.0,madagascar,2.5,trinitario,madagascar
1234,original beans (felchlin),"piura, apotequil, ""porcelana"" 72hr c.",341,2009,75.0,switzerland,3.0,criollo,peru
1570,spencer,"madagascar, lot m0403r",1792,2016,70.0,australia,3.75,unknown,madagascar
507,dar,"venezuela, batch 122",1920,2016,72.0,u.s.a.,2.75,unknown,venezuela
396,chocolate con amor,dominican republic,1764,2016,60.0,u.s.a.,3.0,unknown,dominican
802,hexx,tanzania,1546,2015,70.0,u.s.a.,2.75,unknown,tanzania
849,hummingbird,bolivia,1307,2014,70.0,canada,3.0,"criollo, trinitario",bolivia
38,alain ducasse,chuao,1061,2013,75.0,france,2.5,trinitario,venezuela
90,amma,"monte alegre, 3 diff. plantations",572,2010,50.0,brazil,3.75,forastero (parazinho),brazil
147,bahen & co.,bahia,999,2012,70.0,australia,2.5,unknown,brazil
858,idilio (felchlin),"sur del lago, amiari meridena, zulia, 48hr c.",725,2011,72.0,switzerland,3.75,unknown,venezuela
957,l'amourette,blend,853,2012,72.0,u.s.a.,3.0,criollo,"peru, ecuador, venezuela"
1088,matale,"kulili p., 2013",1177,2013,74.0,australia,4.0,trinitario,papua new guinea
246,bonnat,ceylan,81,2006,75.0,france,3.0,unknown,sri lanka
731,georgia ramon,conacado coop,1646,2015,80.0,germany,3.5,trinitario,dominican
889,kallari (ecuatoriana),sisa 36hr/ w. f. blend prototype,241,2008,70.0,ecuador,3.0,unknown,ecuador
1660,theobroma,"piura select, cacao blanc",1684,2015,70.0,japan,3.25,unknown,peru
1373,ritual,"camino verde p., balao, guayas, 2014",1466,2015,85.0,u.s.a.,3.5,unknown,ecuador
40,alexandre,"winak coop, napo",1944,2017,70.0,netherlands,3.5,forastero (nacional),ecuador
871,iq chocolate,black label,943,2012,72.0,scotland,3.0,unknown,peru
630,escazu,ocumare,252,2008,72.0,u.s.a.,3.0,criollo,venezuela
386,choco dong,"tawau, oct. 2015 harvest",1696,2015,70.0,south korea,3.5,trinitario,malaysia
920,l.a. burdick (felchlin),quito,682,2011,74.0,u.s.a.,3.75,unknown,ecuador
863,idilio (felchlin),"carenero superior, urrutia, barlovento",737,2011,70.0,switzerland,4.0,trinitario,venezuela
1691,valrhona,araguani,117,2007,72.0,france,3.0,blend,venezuela
1006,maglio,ecuador,308,2008,70.0,italy,3.0,forastero (nacional),ecuador
1346,pump street bakery,guantupi river,1227,2014,85.0,u.k.,2.75,forastero (nacional),ecuador
1182,nibble,tumbes,1526,2015,72.0,u.s.a.,3.0,criollo,peru
187,beschle (felchlin),"carenero s., barlovento, grand cru",508,2010,70.0,switzerland,3.25,trinitario,venezuela
437,claudio corallo,principe,252,2008,100.0,sao tome,1.0,forastero,sao tome & principe
1111,michel cluizel,"chiapas, mokaya p.",963,2012,66.0,france,3.75,unknown,mexico
550,doble & bignall,"puerto cabello, mantuano",1371,2014,72.0,u.k.,3.25,trinitario,venezuela
369,castronovo,tumbes,1153,2013,70.0,u.s.a.,2.75,criollo,peru
1189,noir d' ebine,ecuador,841,2012,70.0,u.s.a.,3.0,unknown,ecuador
1026,manoa,piura,1007,2012,72.0,u.s.a.,3.0,unknown,peru
435,claudio corallo,terreiro velho p. w/ sugar crystals,209,2008,80.0,sao tome,3.0,forastero,sao tome & principe
1222,omnom,"kakao kamili, kilombero valley",1816,2016,70.0,iceland,3.75,trinitario,tanzania
1639,tejas,espada,833,2012,70.0,u.s.a.,3.25,unknown,mexico
812,hoja verde (tulicorp),manabi,414,2009,80.0,ecuador,2.5,forastero (arriba) ass,ecuador
301,cacao hunters,"boyaca, aprocampa coop, pauna",1434,2014,69.0,colombia,2.75,unknown,colombia
1538,soma,carenero superior,951,2012,70.0,canada,3.75,trinitario,venezuela
1350,q chocolate,brazil,1069,2013,55.0,brazil,2.75,unknown,brazil
748,guido castagna,blend,355,2009,64.0,italy,3.25,unknown,venezuela
142,askinosie,xoconusco,141,2007,75.0,u.s.a.,2.5,trinitario,mexico
948,laia aka chat-noir,"bahia, batch 148",1642,2015,75.0,france,3.25,unknown,brazil
558,domori,morogoro,863,2012,70.0,italy,3.5,unknown,tanzania
315,cacao sampaka,"porcelana, tabasco, la joya",336,2009,70.0,spain,4.0,criollo,mexico
1119,michel cluizel,maralumi p.,24,2006,64.0,france,4.0,unknown,papua new guinea
1599,szanto tibor,"fazenda sempre firme, bahia",1708,2015,70.0,hungary,3.5,forastero (parazinho),brazil
